component_removed,n_checkpoints,scope_accuracy_pct,action_accuracy_pct,mean_violation_pct,delta_scope_pp,delta_action_pp,delta_violation_pp
Persona,48,95.83333333333334,100.0,0.0,0.0,4.166666666666657,-0.4166666666666667
Self state,48,93.75,95.83333333333334,0.4166666666666667,-2.083333333333343,0.0,0.0
Models,48,100.0,97.91666666666666,0.10416666666666667,4.166666666666657,2.0833333333333144,-0.3125
Hypotheses,48,100.0,97.91666666666666,0.20833333333333334,4.166666666666657,2.0833333333333144,-0.20833333333333334
Episodes,48,95.83333333333334,87.5,1.4583333333333333,0.0,-8.333333333333343,1.0416666666666665
Action policy,48,95.83333333333334,72.91666666666666,4.270833333333333,0.0,-22.916666666666686,3.8541666666666665
